epoch,train_loss,train_acc,valid_loss,valid_acc
0,0.26081299781799316,0.9161531627178192,0.2946954667568207,0.9242877662181854
1,0.24167045205831528,0.9181787967681885,0.3379160761833191,0.9186728000640869
2,0.22197496891021729,0.9243035018444061,0.3282720446586609,0.942164808511734
3,0.20914825052022934,0.9290318489074707,0.33889375627040863,0.8871500194072723
4,0.14524314552545547,0.9483942985534668,0.422990158200264,0.9217628836631775
5,0.12594979256391525,0.9582442343235016,0.4403863847255707,0.9222874939441681
6,0.1252022534608841,0.9577489197254181,0.5208840072154999,0.9247967898845673
7,0.0971899926662445,0.9680941700935364,0.7025978863239288,0.915098637342453
8,0.0943240150809288,0.966925173997879,0.5585675239562988,0.9038639962673187
9,0.04340058192610741,0.9844096302986145,0.644243985414505,0.9120599925518036
10,0.03759365528821945,0.9857775270938873,0.5703818202018738,0.9227668941020966
11,0.034839292988181114,0.9884950518608093,0.6641288995742798,0.9273560345172882
12,0.0412019956856966,0.9867886304855347,0.6676964461803436,0.9156341552734375
13,0.029511704109609127,0.9901889860630035,0.6795055270195007,0.8998587727546692
14,0.011918786447495222,0.9961375594139099,0.8760989308357239,0.9161291718482971
15,0.009858687408268452,0.9961409866809845,0.9058318734169006,0.9247858822345734
16,0.009408191777765751,0.9957990050315857,0.9045282006263733,0.9197173714637756
17,0.012753216549754143,0.9956320226192474,0.8538168966770172,0.9253073930740356
18,0.008093386655673385,0.9963079690933228,0.943318784236908,0.9105344712734222
