epoch,train_loss,train_acc,valid_loss,valid_acc
0,0.2684532403945923,0.9179362654685974,0.2897031009197235,0.9299082159996033
1,0.243173249065876,0.9186105132102966,0.24616092443466187,0.9304110109806061
2,0.2331012412905693,0.9152096211910248,0.2698744833469391,0.9337291121482849
3,0.21384456008672714,0.9220080375671387,0.23911058902740479,0.9347487390041351
4,0.18986698985099792,0.9289580285549164,0.323342427611351,0.8889121413230896
5,0.13668373972177505,0.9444935321807861,0.3317517191171646,0.8823141753673553
6,0.12083831802010536,0.952732503414154,0.405370369553566,0.8967125415802002
7,0.11129377409815788,0.9558783769607544,0.4411134123802185,0.919441819190979
8,0.1039530299603939,0.9603807032108307,0.3180655837059021,0.912802517414093
9,0.09452848508954048,0.9651341140270233,0.6066151261329651,0.9197142422199249
10,0.04253843426704407,0.9844988286495209,0.5539046376943588,0.9158762395381927
11,0.04332680441439152,0.983148068189621,0.560478687286377,0.9056674540042877
12,0.03822517767548561,0.9862847924232483,0.6395254135131836,0.9115642309188843
13,0.03320679813623428,0.987381100654602,0.6665407717227936,0.9028545022010803
14,0.03573623113334179,0.9867056906223297,0.662211686372757,0.921744167804718
15,0.008760219439864159,0.997918963432312,0.7978841960430145,0.9166639447212219
16,0.007378658978268504,0.9978337585926056,0.7859476804733276,0.9192028939723969
17,0.011030748952180147,0.9972406923770905,0.8277667760848999,0.9118163883686066
18,0.008880153996869922,0.9969845116138458,0.8776352107524872,0.9125682711601257
19,0.005645511904731393,0.9982592165470123,0.9475160539150238,0.902620255947113
