epoch,train_loss,train_acc,valid_loss,valid_acc
0,0.5139914005994797,0.779252678155899,0.5607637614011765,0.8039351999759674
1,0.4377173185348511,0.8208669126033783,0.5432137250900269,0.7897343635559082
2,0.4037906527519226,0.8405093550682068,0.46402159333229065,0.8326027989387512
3,0.3882038742303848,0.845519095659256,0.4853190779685974,0.833998441696167
4,0.33913810551166534,0.8679175078868866,0.547687292098999,0.8097662627696991
5,0.2386539876461029,0.9089637100696564,0.6217067539691925,0.82431560754776
6,0.2013397514820099,0.9253835082054138,0.6234047114849091,0.7980193197727203
7,0.1884245201945305,0.9291668236255646,0.6649391055107117,0.8471324443817139
8,0.16537338495254517,0.9399350583553314,0.8827827274799347,0.825395256280899
9,0.14310157299041748,0.9501211643218994,0.6591047048568726,0.8130878210067749
10,0.07482776790857315,0.9736532270908356,0.8449236750602722,0.8388863503932953
11,0.05725608579814434,0.9803689122200012,1.096314936876297,0.8333297669887543
12,0.05455120466649532,0.9814896583557129,1.2638574838638306,0.7889466285705566
13,0.037699139676988125,0.9877240359783173,1.2583361566066742,0.8452456593513489
14,0.04711350426077843,0.9848100244998932,1.1344102025032043,0.8137412667274475
15,0.012852523010224104,0.996373176574707,1.4583704471588135,0.8223616778850555
16,0.013599317520856857,0.9961242079734802,1.466216504573822,0.8400547802448273
17,0.011731158941984177,0.9968520998954773,1.4570555686950684,0.8403447568416595
18,0.011249403469264507,0.9962846636772156,1.584373116493225,0.8355519771575928
19,0.010380074847489595,0.9972535371780396,1.575158953666687,0.8281843662261963
