epoch,train_loss,train_acc,valid_loss,valid_acc
0,0.2760719507932663,0.9171722233295441,0.24927625060081482,0.9319435954093933
1,0.2424137145280838,0.9189536273479462,0.2863078713417053,0.9278728365898132
2,0.2140631601214409,0.9205623269081116,0.2626839727163315,0.9357714653015137
3,0.18951889872550964,0.9241524636745453,0.28706660866737366,0.9301674067974091
4,0.16731762886047363,0.9316949248313904,0.3221992552280426,0.9143233895301819
5,0.1268201544880867,0.9463982880115509,0.3743925988674164,0.9143155813217163
6,0.11126678809523582,0.9526786506175995,0.3524000197649002,0.9212117195129395
7,0.09474991261959076,0.9614219963550568,0.39628396928310394,0.9171425700187683
8,0.08835368975996971,0.9656584560871124,0.46042071282863617,0.9138081073760986
9,0.08281749114394188,0.9692223966121674,0.39079825580120087,0.9105048179626465
10,0.057492002844810486,0.9795869886875153,0.4985923618078232,0.8931945264339447
11,0.059951990842819214,0.9758571982383728,0.5534343123435974,0.9115244746208191
12,0.057344501838088036,0.9774692952632904,0.5759521424770355,0.9021033942699432
13,0.05145827867090702,0.9804379045963287,0.5324672758579254,0.9072062373161316
14,0.052570752799510956,0.9814490377902985,0.5571886450052261,0.9173994362354279
15,0.03876631520688534,0.9859524965286255,0.6608756184577942,0.8947294354438782
16,0.033801812678575516,0.9873919188976288,0.5467497706413269,0.9005544781684875
17,0.03440856374800205,0.9873124063014984,0.6556960046291351,0.9072031378746033
18,0.0342722749337554,0.987227201461792,0.6020441800355911,0.9021299481391907
19,0.03516803961247206,0.9866318702697754,0.6687885522842407,0.8909077644348145
