epoch,train_loss,train_acc,valid_loss,valid_acc
0,0.29628734290599823,0.9147835671901703,0.2661070227622986,0.9332200884819031
1,0.24931494146585464,0.9175073802471161,0.2913556843996048,0.9270991683006287
2,0.21918586641550064,0.9215722978115082,0.29343315958976746,0.9255588054656982
3,0.17938282340765,0.933291107416153,0.3983820825815201,0.9220267534255981
4,0.1558876410126686,0.9421339333057404,0.44708432257175446,0.849256843328476
5,0.103865846991539,0.9605471193790436,0.4414634257555008,0.9079612195491791
6,0.09436213597655296,0.9649682641029358,0.46081554889678955,0.9010790884494781
7,0.08569543436169624,0.967678964138031,0.49818505346775055,0.9003537595272064
8,0.0796421691775322,0.9706612527370453,0.566978931427002,0.9166335463523865
9,0.0681263878941536,0.9758395254611969,0.5233784914016724,0.914087563753128
10,0.04839450307190418,0.9826242625713348,0.6321684122085571,0.9168818295001984
11,0.046378063037991524,0.9837336838245392,0.6099387407302856,0.9023555815219879
12,0.04096309468150139,0.9846686720848083,0.6023768782615662,0.8993224203586578
13,0.04086250253021717,0.9859445095062256,0.6365455687046051,0.917407214641571
14,0.04134231433272362,0.985427588224411,0.6080091297626495,0.8952041566371918
15,0.02752082236111164,0.9908649325370789,0.674502044916153,0.9102729260921478
16,0.027250180952250957,0.9906133115291595,0.6737322807312012,0.8921709656715393
17,0.0254926523193717,0.9914608299732208,0.6821460425853729,0.8875779807567596
18,0.02380253281444311,0.9919703602790833,0.701627254486084,0.8952213227748871
19,0.0205082087777555,0.9930734932422638,0.667792409658432,0.8878550827503204
