,vgg16,,,vgg16_fc,,,vgg11,,
,Hodgkin,other,f_score,Hodgkin,other,f_score,Hodgkin,other,f_score
Cross_Entropy,,,,,,,,,
CE-invarse,,,,,,,,,
LDAM-0.1,,,,,,,,,
LDAM-0.3,,,,,,,,,
LDAM-0.5,,,,,,,,,
focal-1.0,,,,,,,,,
focal-2.0,,,,,,,,,
,,,,,,,,,
add,Hodgkin,other,f_score,Hodgkin,other,f_score,Hodgkin,other,f_score
Cross_Entropy,0.855,0.606,0.709,,,,0.764,0.700,0.731
CE-invarse,0.735,0.734,0.734,,,,0.827,0.569,0.674
LDAM-0.1,,,,,,,,,
LDAM-0.3,,,,,,,,,
LDAM-0.5,0.767,0.691,0.727,,,,0.695,0.786,0.738
focal-1.0,0.772,0.717,0.743,,,,0.874,0.497,0.634
focal-2.0,,,,,,,,,
