epoch,train_loss,train_acc,valid_loss,valid_acc
0,0.5647308528423309,0.7337657809257507,0.5689192414283752,0.7626393139362335
1,0.48708488047122955,0.7749890685081482,0.47650277614593506,0.7879525125026703
2,0.43450991809368134,0.8041042685508728,0.48457905650138855,0.7729344964027405
3,0.3931535482406616,0.8252975940704346,0.5165451914072037,0.7669564783573151
4,0.3647538274526596,0.84012171626091,0.5105206668376923,0.7806956768035889
5,0.25356215238571167,0.8918409645557404,0.49140818417072296,0.7997473478317261
6,0.22317568957805634,0.9064663648605347,0.603515237569809,0.7547881603240967
7,0.19999586045742035,0.9183138608932495,0.5685238838195801,0.7678633630275726
8,0.19001224637031555,0.9246746897697449,0.7242173850536346,0.7788615524768829
9,0.17324229329824448,0.9308459162712097,0.6966814547777176,0.8075816035270691
10,0.07632969319820404,0.9707155227661133,0.6127715855836868,0.8261944353580475
11,0.07645772024989128,0.9709183573722839,0.9069744348526001,0.7531033158302307
12,0.06584925018250942,0.9752524197101593,0.8051280081272125,0.7669119238853455
13,0.07184320315718651,0.9747791290283203,0.817760556936264,0.8136705160140991
14,0.05950845777988434,0.9793814718723297,0.6954749524593353,0.8204384446144104
15,0.018774010241031647,0.994141012430191,0.8994275033473969,0.8152432441711426
16,0.018035523127764463,0.9943433105945587,1.0385093092918396,0.8177705407142639
17,0.02149725891649723,0.9929241240024567,0.9837117493152618,0.8193531036376953
18,0.013716571498662233,0.9958354234695435,0.9807557761669159,0.8054631054401398
19,0.015183643437922001,0.9956329762935638,0.9384098947048187,0.8194996118545532
