epoch,train_loss,train_acc,valid_loss,valid_acc
0,1.3893741965293884,0.5131520330905914,1.3620561361312866,0.9332262873649597
1,1.1916593313217163,0.7096363008022308,1.3904311060905457,0.8063232004642487
2,1.0386786460876465,0.7718210220336914,1.54456627368927,0.7048685848712921
3,0.9350172579288483,0.801478236913681,1.5705018639564514,0.7546904385089874
4,0.861417144536972,0.8056318163871765,1.4649400115013123,0.7297458350658417
5,0.5254722833633423,0.8819248974323273,2.196480691432953,0.8167682588100433
6,0.4947679340839386,0.8917902410030365,2.0960623025894165,0.8802086412906647
7,0.4599054753780365,0.898578941822052,3.451924204826355,0.8439010679721832
8,0.4403637498617172,0.9072587490081787,2.7018426656723022,0.8712303638458252
9,0.3798443675041199,0.9160850644111633,2.180897355079651,0.8199935555458069
10,0.25142384320497513,0.9468186497688293,3.0523219108581543,0.843468427658081
11,0.23742642253637314,0.949525386095047,3.3132855892181396,0.8771575689315796
12,0.21626024693250656,0.9526643753051758,3.1762419939041138,0.852609246969223
13,0.18926968425512314,0.9580966234207153,2.8715003728866577,0.8429422378540039
14,0.17696136236190796,0.9609799981117249,2.452020049095154,0.8606045544147491
15,0.12068838253617287,0.9757605791091919,3.7481040954589844,0.8595162928104401
16,0.10531798750162125,0.9756520390510559,3.370707869529724,0.8590509295463562
17,0.12233467027544975,0.9758378267288208,3.9330538511276245,0.8625720739364624
18,0.1028335876762867,0.9792307615280151,4.517269134521484,0.8863342106342316
19,0.08713751286268234,0.9816960692405701,4.627618312835693,0.8822081685066223
