epoch,train_loss,train_acc,valid_loss,valid_acc
0,0.5483284592628479,0.7370124757289886,0.5330425202846527,0.7200652360916138
1,0.490821048617363,0.7712721526622772,0.4871618300676346,0.8008646667003632
2,0.4355904310941696,0.8012732565402985,0.45780129730701447,0.7902159988880157
3,0.39003169536590576,0.8257036209106445,0.621618002653122,0.7432464063167572
4,0.3505125641822815,0.8464837968349457,0.5761252492666245,0.7198548018932343
5,0.2411746084690094,0.8963785767555237,0.5008108913898468,0.7979768216609955
6,0.21267426759004593,0.9115478992462158,0.712416797876358,0.775737851858139
7,0.19300924986600876,0.9202780425548553,0.5526069700717926,0.7857249975204468
8,0.17389577627182007,0.930635392665863,0.6800251603126526,0.7929032444953918
9,0.15421748161315918,0.9403160512447357,0.5944955050945282,0.8045199513435364
10,0.06861296854913235,0.9748442471027374,0.8084445297718048,0.7739547491073608
11,0.06290812976658344,0.9789738357067108,0.7172413766384125,0.793513834476471
12,0.059346383437514305,0.9783653020858765,0.7408644556999207,0.8146164417266846
13,0.053967829793691635,0.981005072593689,0.7601380050182343,0.819255143404007
14,0.04707251116633415,0.9829712212085724,0.8710741102695465,0.7869939804077148
15,0.01558462530374527,0.9950220882892609,0.9405465126037598,0.8103201687335968
16,0.014231523498892784,0.9945487976074219,0.9751928746700287,0.8101448118686676
17,0.014389554038643837,0.9952249526977539,1.1280559301376343,0.7898747622966766
18,0.01233710115775466,0.9962398707866669,1.2771915197372437,0.7494373023509979
19,0.01081948820501566,0.9965800940990448,1.1802732646465302,0.7857593894004822
