epoch,train_loss,train_acc,valid_loss,valid_acc
0,0.2843867093324661,0.915978193283081,0.2949814796447754,0.9248155355453491
1,0.251479834318161,0.9164882898330688,0.251740500330925,0.9370370507240295
2,0.2406366616487503,0.9154703617095947,0.26344510167837143,0.9339937567710876
3,0.21585480123758316,0.9239569902420044,0.26117008179426193,0.9227700233459473
4,0.19405847787857056,0.9334546625614166,0.427240327000618,0.9053863883018494
5,0.12825322523713112,0.9555312395095825,0.5421561747789383,0.9278525710105896
6,0.11920147389173508,0.9541610777378082,0.4406145066022873,0.9309380054473877
7,0.10628774762153625,0.9602823853492737,0.38042743504047394,0.9253167510032654
8,0.09519247710704803,0.9658844470977783,0.5695353597402573,0.9365280270576477
9,0.0883384607732296,0.9694643020629883,0.560885488986969,0.8891456425189972
10,0.047399407252669334,0.9813558161258698,0.583666056394577,0.898308277130127
11,0.04357222653925419,0.9852662682533264,0.5674459934234619,0.914113312959671
12,0.04312126152217388,0.9857854843139648,0.5063413679599762,0.9176734387874603
13,0.04142575524747372,0.9832338392734528,0.6698956489562988,0.9248124063014984
14,0.028577620163559914,0.9890051782131195,0.6691159904003143,0.9171706438064575
15,0.011328906752169132,0.9956343173980713,0.9434067010879517,0.919697105884552
16,0.00909392605535686,0.9963091015815735,0.8016690611839294,0.9207307696342468
17,0.009899690980091691,0.9959694147109985,0.8630419373512268,0.9141023755073547
18,0.012444302439689636,0.9971600472927094,0.8035244345664978,0.9237927794456482
19,0.006791072431951761,0.9971600472927094,0.8951950669288635,0.9181684255599976
