epoch,train_loss,train_acc,valid_loss,valid_acc
0,0.5444500148296356,0.7425630390644073,0.4817120134830475,0.7689435184001923
1,0.4677770435810089,0.7806083261966705,0.4488045871257782,0.781847357749939
2,0.4325921982526779,0.8025344908237457,0.5231276303529739,0.7419083118438721
3,0.3792424947023392,0.8290073871612549,0.5662784278392792,0.7346947193145752
4,0.3450327664613724,0.8478235304355621,0.49668213725090027,0.7784168422222137
5,0.23571935296058655,0.8999545574188232,0.4112800657749176,0.8196540474891663
6,0.21228640526533127,0.9091630280017853,0.6183556914329529,0.7727339267730713
7,0.19581259787082672,0.9212055206298828,0.4864301234483719,0.8366069197654724
8,0.18337781727313995,0.9261537790298462,0.46257978677749634,0.8276968598365784
9,0.17295833677053452,0.9296755790710449,0.4840304106473923,0.827579528093338
10,0.08347340300679207,0.9687425792217255,0.5930976867675781,0.8149091303348541
11,0.08111241087317467,0.9691518545150757,0.6132881343364716,0.8276707530021667
12,0.06775449588894844,0.9752461314201355,1.0256149768829346,0.7458870112895966
13,0.06790666282176971,0.9742957949638367,0.6706956028938293,0.8213472366333008
14,0.056195562705397606,0.9793084859848022,0.6869730353355408,0.8222172856330872
15,0.02227710885927081,0.9919693171977997,0.876424640417099,0.8218594789505005
16,0.0190760288387537,0.9934605658054352,1.0803258419036865,0.7964357137680054
17,0.01954036485403776,0.9925143420696259,0.9890125691890717,0.8211193382740021
18,0.018215412739664316,0.9933253228664398,0.9791677296161652,0.8039827942848206
19,0.020311926025897264,0.9929883480072021,0.8415395319461823,0.8232295513153076
