epoch,train_loss,train_acc,valid_loss,valid_acc
0,0.5820406377315521,0.7374147474765778,0.511885941028595,0.7937942147254944
1,0.5147166550159454,0.7708045840263367,0.5088096857070923,0.7837281227111816
2,0.4978913217782974,0.7851961851119995,0.4530625343322754,0.8043350875377655
3,0.4323181211948395,0.8211522698402405,0.5059547871351242,0.7822462916374207
4,0.38238973915576935,0.8398421406745911,0.5884355902671814,0.7754700779914856
5,0.2730090022087097,0.888243705034256,0.5088531225919724,0.7992666959762573
6,0.23828786611557007,0.9055111706256866,0.5602502822875977,0.7903664708137512
7,0.22737082093954086,0.9132335782051086,0.5704179555177689,0.7988871335983276
8,0.18658481538295746,0.9281286895275116,0.5475603342056274,0.8234104216098785
9,0.1815870851278305,0.9314419031143188,0.8408159017562866,0.7369370460510254
10,0.083184864372015,0.9707817137241364,0.715449720621109,0.7802660167217255
11,0.07836522161960602,0.9714615941047668,0.8276331126689911,0.7818446159362793
12,0.0708642452955246,0.9757276773452759,0.7293902635574341,0.8234076499938965
13,0.06092218868434429,0.9782964587211609,0.8207598626613617,0.8084599375724792
14,0.06411717645823956,0.9777544438838959,0.7904834151268005,0.7968942523002625
15,0.018904851749539375,0.9948196411132812,0.9124493598937988,0.8204925060272217
16,0.015761835733428597,0.9949518442153931,0.9505869448184967,0.7998109459877014
17,0.016782006714493036,0.994750052690506,0.9162552654743195,0.8175315856933594
18,0.016359653789550066,0.9948868751525879,1.0876592099666595,0.7817699611186981
19,0.016731488285586238,0.9954943358898163,0.9789887368679047,0.8009709119796753
